# CTL Strong Binder Peptides (9-mers)
# Format: Protein|Peptide
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-3:0301
pp220|SLA-3:0301
pp220|SLA-3:0301
pp220|SLA-3:0301
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-3:0401
pp220|SLA-3:0401
pp220|SLA-3:0401
pp220|SLA-3:0401
pp220|SLA-3:0401
pp220|SLA-3:0401
pp220|SLA-3:0401
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-3:0301
pp220|SLA-3:0301
pp220|SLA-3:0301
pp220|SLA-3:0301
pp220|SLA-3:0301
pp220|SLA-3:0301
pp220|SLA-3:0301
pp220|SLA-3:0301
pp220|SLA-3:0301
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-3:0401
pp220|SLA-3:0401
pp220|SLA-3:0401
pp220|SLA-3:0401
pp220|SLA-3:0401
pp220|SLA-3:0401
pp220|SLA-3:0401
pp220|SLA-3:0401
pp220|SLA-3:0401
pp220|SLA-3:0401
pp220|SLA-3:0401
pp220|SLA-3:0401
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-3:0301
pp220|SLA-3:0301
pp220|SLA-3:0301
pp220|SLA-3:0301
pp220|SLA-3:0301
pp220|SLA-3:0301
pp220|SLA-3:0301
pp220|SLA-3:0301
pp220|SLA-3:0301
pp220|SLA-3:0301
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0101
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-1:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-2:0401
pp220|SLA-3:0401
pp220|SLA-3:0401
pp220|SLA-3:0401
pp220|SLA-3:0401
pp220|SLA-3:0401
pp220|SLA-3:0401
pp220|SLA-3:0401
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-1:1201
pp220|SLA-3:0301
pp220|SLA-3:0301
pp220|SLA-3:0301
pp220|SLA-3:0301
pp220|SLA-3:0301
