model,train_acc,val_acc,test_acc,train_bal,val_bal,test_bal,train_auc,val_auc,test_auc,train_ap,val_ap,test_ap
Logistic Regression,0.9204244031830239,0.8125,0.6071428571428571,0.8566969822240595,0.7410394265232976,0.5,0.9625051674245555,0.8557347670250897,0.5238095238095238,0.901124965211104,0.6241436852325305,0.3373608869038191
Random Forest,1.0,0.8375,0.7261904761904762,1.0,0.6388888888888888,0.5,1.0,0.8301971326164874,0.6024187452758882,1.0,0.6357083221620123,0.3214551708401415
SVM,0.9177718832891246,0.7875,0.7380952380952381,0.8109756097560976,0.5474910394265233,0.49206349206349204,0.999338569656883,0.8763440860215054,0.5547996976568406,0.9978692878292988,0.6604165651529306,0.3365663664879984
